Utgiftsområde,Underområde,Anslag,Namn,Summa
9,,,"Hälsovård, sjukvård och social omsorg",112483613000
9,1,,Hälso- och sjukvårdspolitik,73126841000
9,1,1,Socialstyrelsen,765160000
9,1,2,Statens beredning för medicinsk och social utvärdering,91251000
9,1,3,Tandvårds- och läkemedelsförmånsverket,160340000
9,1,4,Tandvårdsförmåner,7062169000
9,1,5,Bidrag för läkemedelsförmånerna,33444000000
9,1,6,Bidrag till folkhälsa och sjukvård,24868886000
9,1,7,Sjukvård i internationella förhållanden,511472000
9,1,8,Bidrag till psykiatri,2162893000
9,1,9,Läkemedelsverket,161835000
9,1,10,E-hälsomyndigheten,120078000
9,1,11,Prestationsbundna insatser för att korta vårdköerna,3000000000
9,1,12,Inspektionen för vård och omsorg,778757000
9,2,,Folkhälsopolitik,849469000
9,2,1,Folkhälsomyndigheten,511173000
9,2,2,Insatser för vaccinberedskap,120500000
9,2,3,Bidrag till WHO,46665000
9,2,4,Insatser mot hiv/aids och andra smittsamma sjukdomar,75502000
9,2,5,"Åtgärder avseende alkohol, narkotika, dopning, tobak samt spel",95629000
9,3,,Funktionshinderspolitik,250822000
9,3,1,Myndigheten för delaktighet,62080000
9,3,2,Bidrag till funktionshindersorganisationer,188742000
9,4,,Politik för sociala tjänster,37359776000
9,4,1,Myndigheten för familjerätt och föräldraskapsstöd,32548000
9,4,2,Vissa statsbidrag inom funktionshindersområdet,785514000
9,4,3,Bilstöd till personer med funktionsnedsättning,263395000
9,4,4,Kostnader för statlig assistansersättning,25043066000
9,4,5,Stimulansbidrag och åtgärder inom äldreområdet,8660490000
9,4,6,Statens institutionsstyrelse,1867518000
9,4,7,Bidrag till utveckling av socialt arbete m.m.,669151000
9,4,8,Myndigheten för vård- och omsorgsanalys,38094000
9,5,,Barnrättspolitik,69200000
9,5,1,Barnombudsmannen,26939000
9,5,2,Barnets rättigheter,42261000
9,6,,Forskningspolitik,827505000
9,6,1,"Forskningsrådet för hälsa, arbetsliv och välfärd: Förvaltning",41002000
9,6,2,"Forskningsrådet för hälsa, arbetsliv och välfärd: Forskning",786503000
10,,,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,97721457000
10,1,,Ersättning vid sjukdom och funktionsnedsättning,88124819000
10,1,1,Sjukpenning och rehabilitering m.m.,41005070000
10,1,2,Aktivitets- och sjukersättningar m.m.,41706400000
10,1,3,Merkostnadsersättning och handikappersättning,1351000000
10,1,4,Arbetsskadeersättningar m.m.,2252000000
10,1,5,Ersättning inom det statliga personskadeskyddet,36649000
10,1,6,Bidrag för sjukskrivningsprocessen,1491700000
10,1,7,Ersättning för höga sjuklönekostnader,282000000
10,2,,Myndigheter,9596638000
10,2,1,Försäkringskassan,9524366000
10,2,2,Inspektionen för socialförsäkringen,72272000
11,,,Ekonomisk trygghet vid ålderdom,41786128000
11,1,,Ersättning vid ålderdom,41085900000
11,1,1,Garantipension till ålderspension,13416400000
11,1,2,Efterlevandepensioner till vuxna,8834900000
11,1,3,Bostadstillägg till pensionärer,11461400000
11,1,4,Äldreförsörjningsstöd,1252200000
11,1,5,Inkomstpensionstillägg,6121000000
11,2,,Myndigheter,700228000
11,2,1,Pensionsmyndigheten,700228000
12,,,Ekonomisk trygghet för familjer och barn,103040770000
12,1,1,Barnbidrag,33426477000
12,1,2,Föräldraförsäkring,48225247000
12,1,3,Underhållsstöd,2838365000
12,1,4,Adoptionsbidrag,14784000
12,1,5,Barnpension och efterlevandestöd,1029900000
12,1,6,Omvårdnadsbidrag och vårdbidrag,4752293000
12,1,7,Pensionsrätt för barnår,8467300000
12,1,8,Bostadsbidrag,4286404000
13,,,Jämställdhet och nyanlända invandrares etablering,6319015000
13,1,,Nyanlända invandrares etablering,4825517000
13,1,1,Etableringsåtgärder,142030000
13,1,2,Kommunersättningar vid flyktingmottagande,4516216000
13,1,3,Hemutrustningslån,167271000
13,2,,Diskriminering,230600000
13,2,1,Diskrimineringsombudsmannen,129681000
