Anslag,2022,2023,2024,Utgiftsområde,Namn
2:29,-92000000,-92000000,-92000000,16,Malmö universitet: Utbildning grundnivå och avancerad nivå
1:7,1000000000,1000000000,1000000000,16,"Maxtaxa i förskola, fritidshem och annan pedagogisk verksamhet, m.m."
2:58,-22357000,-22651000,-22915000,16,Kungl. Musikhögskolan i Stockholm: Konstnärlig forskning och utbildning på forskarnivå
2:32,-132000000,-132000000,-132000000,16,Mälardalens universitet: Forskning och utbildning på forskarnivå
2:35,55639000,56371000,57028000,16,Stockholms konstnärliga högskola: Utbildning på grundnivå och avancerad nivå
2:36,-55639000,-56371000,-57028000,16,Stockholms konstnärliga högskola: Konstnärlig forskning och utbildning på forskarnivå
2:57,22357000,22651000,22915000,16,Kungl. Musikhögskolan i Stockholm: Utbildning på grundnivå och avancerad nivå
2:53,22222000,23515000,22777000,16,Konstfack: Utbildning på grundnivå och avancerad nivå
2:54,-22222000,-22515000,-22777000,16,Konstfack: Konstnärlig forskning och utbildning på forskarnivå
3:4,200000000,300000000,400000000,16,Rymdforskning och rymdverksamhet
2:56,-13037000,-13209000,-13363000,16,Kungl. Konsthögskolan: Konstnärlig forskning och utbildning på forskarnivå
1:13,325000000,325000000,325000000,16,Bidrag till lärarlöner
99:2,200000000,200000000,200000000,16,"Slopat karensavdrag för förskolepersonal, lärare i grundskolan och fritidspersonal"
1:1,-55000000,-98500000,-98500000,16,Statens skolverk
99:12,2000000000,2000000000,2000000000,16,Ökad generell skolpeng
99:11,300000000,300000000,300000000,16,Ökat basanslag
1:15,-6553500000,-7658000000,-8743000000,16,Statligt stöd för stärkt likvärdighet och kunskapsutveckling
99:5,250000000,250000000,250000000,16,Utökad personaltäthet fritids
99:1,380000000,390000000,400000000,16,Stöd till glesbygdsskolor
99:4,800000000,750000000,700000000,16,Jourklasser
1:19,200000000,200000000,200000000,16,Statligt stöd till yrkeshögskoleutbildning
99:6,250000000,250000000,250000000,16,Ökad lärartäthet o undervisningstid högre utbildning
99:7,460000000,470000000,480000000,16,Avskaffat produktivitetsbidrag
2:55,13037000,13209000,13363000,16,Kungl. Konsthögskolan: Utbildning på grundnivå och avancerad nivå
99:8,100000000,100000000,100000000,16,Strategiskt forskningsanslag kärnenergiforskning
99:9,850000000,850000000,850000000,16,Skolhälsovård
1:2,200000000,250000000,300000000,16,Statens skolinspektion
99:3,125000000,125000000,125000000,16,Utökning SYV grundskola och gymnasieskola
99:6,150000000,150000000,150000000,17,Öppna museer
99:7,50000000,50000000,50000000,17,Stimulansbidrag kulturmiljökompetens
99:8,35000000,35000000,35000000,17,Stimulansbidrag kultur i vården
99:5,35000000,35000000,35000000,17,Skapande äldreomsorg
3:1,-30000000,-30000000,-30000000,17,Bidrag till litteratur och kulturtidskrifter
99:9,300000000,300000000,300000000,17,Kulturlotsar och Sverigecenter
99:4,100000000,100000000,100000000,17,Kulturarvsfond
9:1,3000000,3000000,3000000,17,Myndigheten för stöd till trossamfund
6:1,31000000,80000000,56000000,17,Riksarkivet
99:2,40000000,40000000,40000000,17,Kulturreservat
5:2,-135000000,-135000000,-135000000,17,Ersättningar och bidrag till konstnärer
3:3,11000000,11000000,11000000,17,Institutet för språk och folkminnen
99:11,100000000,100000000,100000000,17,LOA-fond
99:10,100000000,100000000,100000000,17,Bibliotekssatsning
99:1,250000000,250000000,250000000,17,Statligt stöd till ökad estetisk hållbarhet
8:3,12000000,12000000,12000000,17,Bidrag till vissa museer
8:2,110000000,160000000,160000000,17,Centrala museer: Stiftelser
8:1,-96000000,-96000000,-96000000,17,Centrala museer: Myndigheter
7:3,250000000,250000000,250000000,17,Kyrkoantikvarisk ersättning
4:3,5000000,5000000,5000000,17,Nämnden för hemslöjdsfrågor
4:4,-6000000,-6000000,-6000000,17,Bidrag till bild- och formområdet
7:2,5000000,5000000,5000000,17,Bidrag till kulturmiljövård
7:1,50000000,50000000,50000000,17,Riksantikvarieämbetet
99:3,160000000,160000000,160000000,17,Kulturarvs-ROT]
10:1,-155000000,-100000000,-100000000,17,Filmstöd
9:2,-25000000,-25000000,-25000000,17,Stöd till trossamfund
2:3,2000000,2000000,2000000,17,Statens musikverk
1:2,200000000,200000000,200000000,17,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete"
1:1,5000000,1000000,1000000,17,Statens kulturråd
15:1,6000000,6000000,6000000,17,Spelinspektionen
1:5,15000000,15000000,15000000,17,Stöd till icke-statliga kulturlokaler
14:1,-1175100000,-683100000,-683100000,17,Bidrag till folkbildningen
13:4,-15000000,-15000000,-15000000,17,Bidrag till riksdagspartiers kvinnoorganisationer
14:3,-60000000,0,0,17,Särskilda insatser inom folkbildningen
13:3,5000000,5000000,5000000,17,Stöd till friluftsorganisationer
12:2,-67000000,-17000000,-17000000,17,Bidrag till nationell och internationell ungdomsverksamhet
2:2,-16000000,-16000000,-16000000,17,"Bidrag till vissa teater-, dans- och musikändamål"
12:1,7000000,7000000,7000000,17,Myndigheten för ungdoms- och civilsamhällesfrågor
11:4,-15000000,-17000000,-24663000,17,Statens medieråd
2:1,-13703000,-13703000,-13703000,17,Bidrag till vissa scenkonstinstitutioner
1:4,20000000,20000000,20000000,17,Forsknings- och utvecklingsinsatser inom kulturområdet
99:3,34000000,34000000,34000000,18,Bidrag till åtgärder mot radon i bostäder
99:2,750000000,750000000,750000000,18,Säkra och trygga utsatta områden
99:1,129000000,129000000,129000000,18,Stöd till lokal konsumentvägledning
1:4,-2000000,-8000000,-8000000,18,Boverket
1:8,-4050000000,-4900000000,-5000000000,18,Investeringsstöd för anordnande av hyresbostäder och bostäder för studerande
1:7,-1565000000,-80000000,-1130000000,18,Energieffektivisering av flerbostadshus
2:1,-3200000,-3200000,-3200000,18,Konsumentverket
1:16,-2755000000,-2655000000,-3655000000,20,Klimatinvesteringar
1:15,-60000000,-70000000,-77000000,20,Havs- och vattenmyndigheten
99:2,20000000,20000000,20000000,20,Förädlingsprojekt alm och ask
1:12,50000000,50000000,50000000,20,Insatser för internationella klimatinvesteringar
1:11,50000000,50000000,50000000,20,Åtgärder för havs- och vattenmiljö
1:17,-1331000000,-192000000,-182000000,20,Klimatpremier
1:18,-200000000,0,0,20,Stöd för gröna och trygga samhällen
99:3,10000000,20000000,20000000,20,Centrum för genteknik i naturens tjänst
99:1,350000000,350000000,350000000,20,Laddinfrastruktur
1:14,-2005000000,-2005000000,-2005000000,20,Skydd av värdefull natur
2:2,150000000,150000000,150000000,20,"Forskningsrådet för miljö, areella näringar och samhällsbyggande"
2:1,50000000,50000000,50000000,20,"Forskningsrådet för miljö, areella näringar och samhällsbyggande"
1:21,250000000,250000000,250000000,20,Driftsstöd för bio-CCS
1:22,-100000000,-100000000,-100000000,20,Kompetenslyft för klimatomställningen
1:8,-3510000000,-2970000000,-2970000000,20,Klimatbonus
1:1,-37000000,-37000000,-37000000,20,Naturvårdsverket
1:4,30000000,30000000,30000000,20,Sanering och återställning av förorenade områden
1:10,-140000000,-155000000,-145000000,21,Lokal och regional kapacitetsutveckling för klimat- och energiomställning
1:7,-578000000,0,0,21,Energiteknik
