Kod,Namn,Regeringens förslag,Avvikelse från regeringen
1:21,Åtgärder på fjällägenheter,1529,0
1:22,Främjande av rennäringen m.m.,125915,10000
1:23,Sveriges lantbruksuniversitet,2134808,50000
1:24,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning och samfinansierad forskning",713664,50000
1:25,Bidrag till Skogs- och lantbruksakademien,1177,0
1:26,Nedsättning av slakteriavgifter,73237,0
1:27,Åtgärder för beredskap inom livsmedels- och dricksvattenområdet,15000,0
1:28,Stödåtgärder för fiske och vattenbruk 2021–2027,101500,0
1:29,Från EU-budgeten finansierade stödåtgärder för fiske och vattenbruk 2021–2027,120000,0
99:2,Växtförädling,0,10000
99:3,Åkermarksinventering,0,2000
99:4,Sekretariat för synkronisering av forskning och behov,0,5000
99:5,Miljöprövningsdelegation för tillståndsprövningar,0,10000
99:6,Pilotprojekt för avbytartjänst inom jordbruket,0,20000
99:7,Projekt grogrund,0,10000
99:8,Uppföljning biologiska bekämpningsmedels spridning,0,5000
99:9,Nationella livsmedelsstrategin,0,900000
99:10,Kontrollfunktion livsmedelsbedrägerier,0,30000
1:1,Verket för innovationssystem,279816,−72000
1:2,Verket för innovationssystem: Forskning och utveckling,3540255,−1000000
1:3,Institutens strategiska kompetensmedel,997268,0
1:4,Tillväxtverket,663677,36000
1:5,Näringslivsutveckling,905942,110000
1:6,Myndigheten för tillväxtpolitiska utvärderingar och analyser,67146,3000
1:7,Turistfrämjande,124613,100000
1:8,Sveriges geologiska undersökning,255310,132000
1:9,Geovetenskaplig forskning,5923,1000
1:10,Miljösäkring av oljelagringsanläggningar,14000,0
1:11,Bolagsverket,65542,20000
1:12,Bidrag till Kungl. Ingenjörsvetenskapsakademien,8327,1000
1:13,Konkurrensverket,169438,5000
1:14,Konkurrensforskning,10804,0
1:15,Upprustning och drift av Göta kanal,122510,0
1:16,Omstrukturering och genomlysning av statligt ägda företag,18850,0
1:17,Kapitalinsatser i statligt ägda företag,1000,0
1:18,Avgifter till vissa internationella organisationer,16860,0
1:19,Finansiering av rättegångskostnader,18000,0
1:20,Bidrag till företagsutveckling och innovation,269472,0
1:21,Patent- och registreringsverket,335706,11000
1:22,Stöd vid korttidsarbete,365000,0
1:23,Brexitjusteringsreserven,386000,0
2:1,Styrelsen för ackreditering och teknisk kontroll: Myndighetsverksamhet,25956,0
2:2,Kommerskollegium,91494,1000
2:3,Exportfrämjande verksamhet,361367,0
2:4,Investeringsfrämjande,72772,0
2:5,Avgifter till internationella handelsorganisationer,20517,0
2:6,Bidrag till standardiseringen,31336,0
2:7,AB Svensk Exportkredits statsstödda exportkreditgivning,100000,0
99:1,Starta-eget bidrag för yrkesverksamma,0,100000
1:1,Kommunalekonomisk utjämning,147046689,3000000
1:2,Utjämningsbidrag för LSS-kostnader,4718355,0
1:3,Bidrag till kommunalekonomiska organisationer,7150,0
1:4,Tillfälligt stöd till enskilda kommuner och regioner,250000,0
1:5,Medel till befolkningsmässigt mindre kommuner,300000,0
1:1,Räntor på statsskulden,12000000,0
1:2,Oförutsedda utgifter,10000,0
1:3,Riksgäldskontorets provisionsutgifter,145200,0
1:1,Avgiften till Europeiska unionen,47836848,0
