Anslag,Namn,2022,2023,2024,Utgiftsområde
1:6,Bidrag till regional kulturverksamhet,-2000000,-20000000,-20000000,17
1:7,Myndigheten för kulturanalys,0,0,0,17
2:1,Bidrag till vissa scenkonstinstitutioner,-1000000,-7000000,-7000000,17
2:2,"Bidrag till vissa teater-, dans- och musikändamål",-50000000,0,0,17
2:3,Statens musikverk,0,-1000000,-1000000,17
3:2,Myndigheten för tillgängliga medier,0,-1000000,-1000000,17
3:3,Institutet för språk och folkminnen,0,0,0,17
4:1,Statens konstråd,0,0,0,17
4:3,Nämnden för hemslöjdsfrågor,0,0,0,17
4:4,Bidrag till bild- och formområdet,-15000000,0,0,17
5:1,Konstnärsnämnden,0,0,0,17
5:2,Ersättningar och bidrag till konstnärer,-75000000,0,0,17
6:1,Riksarkivet,-1000000,-2000000,-2000000,17
7:1,Riksantikvarieämbetet,0,-1000000,-1000000,17
8:1,Centrala museer: Myndigheter,-2000000,-8000000,-8000000,17
8:4,Forum för levande historia,0,0,0,17
9:1,Myndigheten för stöd till trossamfund,0,0,0,17
11:1,Sändningar av TV Finland,0,0,0,17
11:2,Forskning och dokumentation om medieutvecklingen,0,0,0,17
11:4,Statens medieråd,0,0,0,17
12:1,Myndigheten för ungdoms- och civilsamhällesfrågor,0,0,0,17
15:1,Spelinspektionen,0,0,0,17
1:4,Boverket,0,-2000000,-2000000,18
1:5,Statens geotekniska institut,0,0,0,18
1:6,Lantmäteriet,-1000000,-3000000,-3000000,18
1:7,Energieffektivisering av flerbostadshus,-1505000000,0,-961000000,18
1:8,Investeringsstöd för anordnande av hyresbostäder och bostäder för studerande,-411000000,-1511000000,-3144000000,18
2:1,Konsumentverket,0,-1000000,-1000000,18
2:2,Allmänna reklamationsnämnden,0,0,0,18
2:3,Fastighetsmäklarinspektionen,0,0,0,18
1:1,Regionala utvecklingsåtgärder,-350000000,0,0,19
1:1,Naturvårdsverket,25000000,-42000000,-106000000,20
1:2,Miljöövervakning m.m.,-8000000,-3000000,-3000000,20
1:3,Åtgärder för värdefull natur,160000000,172000000,200000000,20
1:5,Miljöforskning,-3000000,-3000000,-3000000,20
1:6,Kemikalieinspektionen,0,-1000000,-1000000,20
1:8,Klimatbonus,0,620000000,1449000000,20
1:9,Sveriges meteorologiska och hydrologiska institut,0,-2000000,-2000000,20
1:11,Åtgärder för havs- och vattenmiljö,201000000,176000000,226000000,20
1:14,Skydd av värdefull natur,-1705000000,-1705000000,-1705000000,20
1:15,Havs- och vattenmyndigheten,-8000000,-10000000,-12000000,20
1:17,Klimatpremier,200000000,95000000,95000000,20
1:19,Industriklivet,250000000,250000000,250000000,20
