Anslag,Namn,Avvikelse från regeringen,Utgiftsområde
1:2,Aktivitets- och sjukersättningar m.m.,-574000,10
2:1,Försäkringskassan,-64000,10
2:2,Inspektionen för socialförsäkringen,0,10
1:1,Garantipension till ålderspension,-800000,11
1:4,Äldreförsörjningsstöd,300000,11
2:1,Pensionsmyndigheten,-1000,11
1:2,Föräldraförsäkring,-3194000,12
1:8,Bostadsbidrag,100000,12
2:1,Diskrimineringsombudsmannen,0,13
3:1,Särskilda jämställdhetsåtgärder,80000,13
3:2,Jämställdhetsmyndigheten,-5000,13
4:2,Delegationen mot segregation,0,13
1:1,Arbetsförmedlingens förvaltningskostnader,-502000,14
1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,-308000,14
1:3,Kostnader för arbetsmarknadspolitiska program och insatser,-899000,14
1:5,Rådet för Europeiska socialfonden i Sverige,0,14
1:8,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering,0,14
1:9,Inspektionen för arbetslöshetsförsäkringen,0,14
1:10,Bidrag till administration av grundbeloppet,0,14
1:13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",650000,14
1:14,Etableringsersättning till vissa nyanlända invandrare,101000,14
2:1,Arbetsmiljöverket,-1000,14
2:2,Arbetsdomstolen,0,14
2:4,Medlingsinstitutet,0,14
2:5,Myndigheten för arbetsmiljökunskap,0,14
1:3,Avsättning för kreditförluster,0,15
1:4,Statens utgifter för studiemedelsräntor,0,15
1:8,Centrala studiestödsnämnden,-1000,15
1:9,Överklagandenämnden för studiestöd,0,15
1:1,Statens skolverk,78000,16
1:2,Statens skolinspektion,4000,16
1:3,Specialpedagogiska skolmyndigheten,-2000,16
1:4,Sameskolstyrelsen,0,16
1:5,Utveckling av skolväsendet och annan pedagogisk verksamhet,5416000,16
1:7,"Maxtaxa i förskola, fritidshem och annan pedagogisk verksamhet, m.m.",-100000,16
1:10,Fortbildning av lärare och förskolepersonal,0,16
1:11,Skolforskningsinstitutet,0,16
1:13,Bidrag till lärarlöner,500000,16
1:14,Särskilda insatser inom skolområdet,60000,16
1:17,Statligt stöd till vuxenutbildning,160000,16
1:18,Myndigheten för yrkeshögskolan,5000,16
1:19,Statligt stöd till yrkeshögskoleutbildning,250000,16
2:1,Universitetskanslersämbetet,0,16
2:2,Universitets- och högskolerådet,88000,16
2:3,Uppsala universitet: Utbildning på grundnivå och avancerad nivå,-4000,16
2:4,Uppsala universitet: Forskning och utbildning på forskarnivå,0,16
2:5,Lunds universitet: Utbildning på grundnivå och avancerad nivå,-5000,16
2:6,Lunds universitet: Forskning och utbildning på forskarnivå,-5000,16
2:7,Göteborgs universitet: Utbildning på grundnivå och avancerad nivå,-5000,16
2:8,Göteborgs universitet: Forskning och utbildning på forskarnivå,-4000,16
2:9,Stockholms universitet: Utbildning på grundnivå och avancerad nivå,-4000,16
2:10,Stockholms universitet: Forskning och utbildning på forskarnivå,-4000,16
2:11,Umeå universitet: Utbildning på grundnivå och avancerad nivå,-3000,16
2:12,Umeå universitet: Forskning och utbildning på forskarnivå,-3000,16
2:13,Linköpings universitet: Utbildning på grundnivå och avancerad nivå,-4000,16
2:14,Linköpings universitet: Forskning och utbildning på forskarnivå,-2000,16
2:15,Karolinska institutet: Utbildning på grundnivå och avancerad nivå,-2000,16
2:16,Karolinska institutet: Forskning och utbildning på forskarnivå,-4000,16
2:17,Kungl. Tekniska högskolan: Utbildning på grundnivå och avancerad nivå,-3000,16
2:18,Kungl. Tekniska högskolan: Forskning och utbildning på forskarnivå,-4000,16
2:19,Luleå tekniska universitet: Utbildning på grundnivå och avancerad nivå,-2000,16
2:20,Luleå tekniska universitet: Forskning och utbildning på forskarnivå,-1000,16
